"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40604","User adding product under monitors","chromium","2026-05-18","passed","2026-05-18","","productmonitor.spec.js","",""
"","39804","User adding product under phones","chromium","2026-05-18","passed","2026-05-18","","productphone.spec.js","",""
"","11763","User signup","chromium","2026-05-18","passed","2026-05-18","","signupstore.spec.js","",""
"","15961","User logout","chromium","2026-05-18","passed","2026-05-18","","loginandlogout.spec.js","",""
"","4982","get started link","chromium","2026-05-14","passed","2026-05-14","","example.spec.js","",""
"","11842","User signup close","chromium","2026-05-18","passed","2026-05-18","","signupstore-close.spec.js","",""
"","11826","User login","chromium","2026-05-11","passed","2026-05-11","","loginvalidcred.spec.js","",""
"","16838","User adding product to cart","chromium","2026-05-18","passed","2026-05-18","","additemtocart.spec.js","",""
"","12718","User login with invalid password","chromium","2026-05-18","passed","2026-05-18","","logininvalidpass.spec.js","",""
"","12561","User login with invalid username and invalid password","chromium","2026-05-18","passed","2026-05-18","","invaliduserandpass.spec.js","",""
"","18081","User login with invalid username","chromium","2026-05-18","passed","2026-05-18","","logininvaliduser.spec.js","",""
"","41003","User adding product under phones","chromium","2026-05-13","passed","2026-05-13","","productmonitor.spec.js","",""
"","2925","has title","chromium","2026-05-14","passed","2026-05-14","","example.spec.js","",""
"","12093","User signup","chromium","2026-05-11","passed","2026-05-11","","signupstore-close.spec.js","",""
"","12414","User login with valid credentials","chromium","2026-05-18","passed","2026-05-18","","loginvalidcred.spec.js","",""
